,AngueEkomo,,Maria Nsue,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Kindle-Store/b?ie=UTF8&node=133140011?tag=pueblocolab-20
,By the Time She Returned,,John Rusimbi,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Time-She-Returned-John-Rusimbi/dp/1857563921?tag=pueblocolab-20
,Fugitive Pieces,,Anne Michaels,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Fugitive-Pieces-Novel-Anne-Michaels/dp/0679776591?tag=pueblocolab-20
,"Kenya, Will You Marry Me?",,Philo Ikonya,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Kenya-Will-You-Marry-Me/dp/9956579793?tag=pueblocolab-20
,The Moon is Following Me,,Cecil Browne,2019-12-23T06:00:14.000Z,,https://www.amazon.com/MOON-FOLLOWING-ME-Philip-Heckman/dp/0689315651?tag=pueblocolab-20
,Moon Over Samarqand,,Mohamed Mansi Qandil,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Samarqand-Modern-Arabic-Literature-Hardcover/dp/9774161890?tag=pueblocolab-20
,We Killed Mangy Dog,,Luis Bernardo Honwana,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Killed-Mangy-Dog-Stories-African-Writers/dp/0435900609?tag=pueblocolab-20
,Stone Upon Stone,,Wieslaw Mysliwski,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Stone-Upon-Wieslaw-Mysliwski/dp/098262462X?tag=pueblocolab-20
,The Name of the Rose,, Umberto Eco,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Name-Rose-Umberto-Eco/dp/0544176561?tag=pueblocolab-20
,VasquezThe Informers,,Juan Gabriel,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Informers-Juan-Gabriel-Vasquez/dp/1594484678?tag=pueblocolab-20
,The House of the Mosque,,Kader Abdolah,2019-12-23T06:00:14.000Z,,https://www.amazon.com/House-Mosque-Kader-Abdolah/dp/1847672418?tag=pueblocolab-20
,To Kill a Mockingbird,, Harper Lee,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786?tag=pueblocolab-20
,Laughter of a Slave,,Shawkat OsmanThe,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Laughter-Slave-Shawkat-Osman/dp/B005P6WBYC?tag=pueblocolab-20
,Ten Women,, Marcela Serrano,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Ten-Women-Marcela-Serrano-ebook/dp/B00DRFP1XG?tag=pueblocolab-20
,I Am Malala,, Malala Yousafzai,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Am-Malala-Stood-Education-Taliban/dp/0316322407?tag=pueblocolab-20
,All the Lights,,Clemens Meyer,2018-07-31T22:39:08.000Z,,https://www.amazon.com/All-Light-We-Cannot-See/dp/1501173219?tag=pueblocolab-20
,John Crow's Devil,,Marlon James,2019-12-23T06:00:14.000Z,,https://www.amazon.com/John-Crows-Devil-Marlon-James/dp/1936070103?tag=pueblocolab-20
,MeguidNo One Sleeps in Alexandria,,Ibrahim Abdel,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Sleeps-Alexandria-Ibrahim-Abdel-Meguid/dp/9774249615?tag=pueblocolab-20
,Our Lady of the Assassins,,Fernando Vallejo,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Our-Lady-Assassins-Fernando-Vallejo/dp/1852426470?tag=pueblocolab-20
,Stealth,,Sonallah Ibrahim,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Stealth-War-China-While-Americas/dp/0593084349?tag=pueblocolab-20
,For the Good of Mankind,,Jack Niedenthal,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Good-Mankind-History-People-Islands/dp/9829050025?tag=pueblocolab-20
,The Islands,,Carlos Gamerro,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Island-Victoria-Hislop/dp/0061340324?tag=pueblocolab-20
,All the Pretty Horses,,Cormac Mccarthy,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Pretty-Horses-Border-Trilogy-Book/dp/0679744398?tag=pueblocolab-20
,Desperate in Dubai,,Ameera Al Hakawati,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Desperate-Dubai-Ameera-Al-Hakawati/dp/8184001711?tag=pueblocolab-20
,The Boat,,Nam Le,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Boat-Book-Gail-Gibbons/dp/0823404781?tag=pueblocolab-20
,The Farming of the Bones,,Edwidge Danticat,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Farming-Bones-Edwidge-Danticat/dp/1616953497?tag=pueblocolab-20
,Purgatory,,Tomas Eloy Martinez,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Purgatory-Explained-Lives-Legends-Saints/dp/0895558319?tag=pueblocolab-20
,Street Without a Name,,Kapka Kassabova,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Street-Without-Name-Childhood-Misadventures/dp/1602396450?tag=pueblocolab-20
,The Decapitated Chicken,,Horacio Quiroga,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Decapitated-Chicken-Other-Stories-American/dp/0292715412?tag=pueblocolab-20
,The Story that Must Not Be Told,,Kavery Nambisan:,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Story-That-Must-Not-Told/dp/0670084530?tag=pueblocolab-20
,The Quest for Christa T.,, Christa Wolf,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Quest-Christa-T-Wolf/dp/0374515344?tag=pueblocolab-20
,An Unfinished Business,,Boualem Sansal,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Unfinished-Business-Women-Work-Family/dp/0812984978?tag=pueblocolab-20
,Shanco,,Jack and,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Martha-Jack-Shanco-Caryl-Lewis/dp/1905762313?tag=pueblocolab-20
,7 Ways to Kill a Cat,,Matias Nespolo,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Seven-Ways-Kill-Mat%C3%ADas-N%C3%A9spolo/dp/0099552388?tag=pueblocolab-20
,Pendragon Legend,,Antal SzerbThe,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Pendragon-Legend-Antal-Szerb/dp/190128560X?tag=pueblocolab-20
,Lovesong,,Alex Miller,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Lovesong-Becoming-Jew-Julius-Lester/dp/0805005889?tag=pueblocolab-20
,The Lazarus Project,,Aleksandar Hemon,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Lazarus-Project-Aleksandar-Hemon/dp/1594483752?tag=pueblocolab-20
,Cracking India: A Novel,,Bapsi SidhwaIce,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Cracking-India-Novel-Bapsi-Sidhwa/dp/1571310487?tag=pueblocolab-20
,God Grew Tired of Us,, John Bul Dau,2019-12-23T06:00:14.000Z,,https://www.amazon.com/God-Grew-Tired-Us-Memoir/dp/1426202121?tag=pueblocolab-20
,Links,, Nuruddin Farah,2019-12-23T06:00:14.000Z,,https://kdp.amazon.com/en_US/help/topic/G200652190?tag=pueblocolab-20
,One Hundred Years of Solitude,,Gabriel Garcia Marquez,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Hundred-Solitude-Harper-Perennial-Classics/dp/0060883286?sa=X&ved=2ahUKEwjBna2aw83mAhVBVs0KHSKVCjMQ9QF6BAgLEAI?tag=pueblocolab-20
,Afro-Cuban Tales,,Lydia Cabrera,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Afro-Cuban-Tales-Lydia-Cabrera/dp/0803264380?tag=pueblocolab-20
,Under the Frog,,Tibor Fischer,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Under-Frog-Novel-Tibor-Fischer/dp/0312278713?tag=pueblocolab-20
,Fire in the Canes;Song of Night;Too Beautiful to Die,,Glenville Lovell,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Too-Beautiful-Blades-Overstreet-Mystery/dp/039915048X?tag=pueblocolab-20
,The Thorn Birds,, Colleen McCullough,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Thorn-Birds-Colleen-McCullough/dp/0380018179?tag=pueblocolab-20
,Life: A User's Manual,,Georges Perec,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Life-Users-Manual-English-French/dp/1567923739?tag=pueblocolab-20
,How to Make Love to a Negro without GettingTired,,Dany Laferriere,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Make-Negro-Without-Getting-Tired/dp/1553655850?tag=pueblocolab-20
,The Wink of an Eye;Bleeding Heart,,Mohammad Al Murr,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Bleeding-Heart-Amy-Giuffrida/dp/1511927828?tag=pueblocolab-20
,Hunger,,Knut Hamsun,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Hunger-Memoir-Body-Roxane-Gay/dp/0062362593?tag=pueblocolab-20
,Pornografia,,Witold Gombrowicz,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Pornografia-Novel-Witold-Gombrowicz/dp/0802145132?tag=pueblocolab-20
,The Fat Years,,Chan Koonchung,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Fat-Years-Koonchung-Chan/dp/0307742822?tag=pueblocolab-20
,Constanze Mozart,,Louise Bugge Laermann,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Constanze-Mozarts-Beloved/dp/3990121154?tag=pueblocolab-20
,Coming Home,,Pema Euden,2018-07-31T22:39:08.000Z,,https://www.amazon.com/Coming-Home-Rosamunde-Pilcher/dp/0312958129?tag=pueblocolab-20
,Memories of My Melancholy Whores,,Gabriel Garcia Marquez,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Memories-Melancholy-Whores-Gabriel-M%C3%A1rquez/dp/1400095948?tag=pueblocolab-20
,When they Loved the Communal Land,,Pedro Mir,2019-12-23T06:00:14.000Z,,https://www.amazon.com/American-Fire-Love-Arson-Vanishing/dp/1631490516?tag=pueblocolab-20
,The Greenhouse,,Audur Ava Olafsdottir,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Greenhouse-Audur-Ava-Olafsdottir/dp/1611090792?tag=pueblocolab-20
,The Trotter Nama,,I. Allan Sealy,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Roli-Books-Trotter-Nama-Allan-Sealy/dp/8186939040?tag=pueblocolab-20
,Musicians and Watchmakers,,Alicia Steimberg,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Musicians-Watchmakers-Discoveries-Alicia-Steimberg/dp/093548096X?tag=pueblocolab-20
,The Attack,,Yasmina Khadra,2019-12-23T06:00:14.000Z,,https://www.amazon.com/Attack-Austin-Thriller-Russian-Assassin-ebook/dp/B0777J2LRW?tag=pueblocolab-20
