timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1611502898223,5,HTTP Request,200,,Thread Group 1-49,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,5,0,1
1611502898228,4,HTTP Request,200,,Thread Group 1-50,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898239,3,HTTP Request,200,,Thread Group 1-51,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898251,3,HTTP Request,200,,Thread Group 1-52,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898262,5,HTTP Request,200,,Thread Group 1-53,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,5,0,1
1611502898272,3,HTTP Request,200,,Thread Group 1-54,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898280,4,HTTP Request,200,,Thread Group 1-55,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898291,2,HTTP Request,200,,Thread Group 1-56,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898301,3,HTTP Request,200,,Thread Group 1-57,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898312,3,HTTP Request,200,,Thread Group 1-58,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898321,3,HTTP Request,200,,Thread Group 1-59,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898331,3,HTTP Request,200,,Thread Group 1-60,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898342,4,HTTP Request,200,,Thread Group 1-61,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898352,2,HTTP Request,200,,Thread Group 1-62,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898363,3,HTTP Request,200,,Thread Group 1-63,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898371,3,HTTP Request,200,,Thread Group 1-64,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898380,4,HTTP Request,200,,Thread Group 1-65,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898388,3,HTTP Request,200,,Thread Group 1-66,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898401,3,HTTP Request,200,,Thread Group 1-67,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898411,5,HTTP Request,200,,Thread Group 1-68,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898421,3,HTTP Request,200,,Thread Group 1-69,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898433,3,HTTP Request,200,,Thread Group 1-70,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898438,4,HTTP Request,200,,Thread Group 1-71,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898449,3,HTTP Request,200,,Thread Group 1-72,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898461,4,HTTP Request,200,,Thread Group 1-73,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898472,2,HTTP Request,200,,Thread Group 1-74,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898480,3,HTTP Request,200,,Thread Group 1-75,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898488,3,HTTP Request,200,,Thread Group 1-76,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898498,3,HTTP Request,200,,Thread Group 1-77,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898512,3,HTTP Request,200,,Thread Group 1-78,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898521,3,HTTP Request,200,,Thread Group 1-79,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898531,2,HTTP Request,200,,Thread Group 1-80,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898538,2,HTTP Request,200,,Thread Group 1-81,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898551,2,HTTP Request,200,,Thread Group 1-82,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898558,2,HTTP Request,200,,Thread Group 1-83,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898571,3,HTTP Request,200,,Thread Group 1-84,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898583,3,HTTP Request,200,,Thread Group 1-85,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898590,3,HTTP Request,200,,Thread Group 1-86,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898598,3,HTTP Request,200,,Thread Group 1-87,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898612,4,HTTP Request,200,,Thread Group 1-88,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898621,3,HTTP Request,200,,Thread Group 1-89,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898630,3,HTTP Request,200,,Thread Group 1-90,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898641,3,HTTP Request,200,,Thread Group 1-91,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898651,3,HTTP Request,200,,Thread Group 1-92,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898661,3,HTTP Request,200,,Thread Group 1-93,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898672,3,HTTP Request,200,,Thread Group 1-94,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898680,5,HTTP Request,200,,Thread Group 1-95,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,5,0,1
1611502898692,4,HTTP Request,200,,Thread Group 1-96,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898700,4,HTTP Request,200,,Thread Group 1-97,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898713,3,HTTP Request,200,,Thread Group 1-98,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898722,2,HTTP Request,200,,Thread Group 1-99,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898728,3,HTTP Request,200,,Thread Group 1-100,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
